Country,Trade,Energy Types,unit,2020,2021,2022
        Afghanistan,Import,Electricity,Billion KWh,"5,15 ","5,70 ","5,88 "
        Albania,Import,Electricity,Billion KWh,"2,28 ","(0,55)","0,92 "
        Albania,Export,Electricity,Billion KWh,"0,96 ","2,80 ","2,12 "
        Algeria,Import,Electricity,Billion KWh,"(0,06)","(1,15)","(1,14)"
        Algeria,Export,Electricity,Billion KWh,"0,57 ","1,53 ","1,53 "
        Algeria,Export,Natural Gas,BCF,"1370,87 ","1917,38 ","1751,00 "
        Angola,Export,Natural Gas,BCF,"218,61 ","167,30 ","145,37 "
        Argentina,Import,Natural Gas,BCF,"257,02 ","291,90 ","219,98 "
        Argentina,Import,Electricity,Billion KWh,"4,71 ","2,50 ","12,88 "
        Argentina,Export,Electricity,Billion KWh,"3,09 ","3,85 ","0,03 "
        Argentina,Export,Natural Gas,BCF,"48,01 ","30,94 ","120,84 "
        Armenia,Import,Electricity,Billion KWh,"(1,01)","(0,63)","(0,76)"
        Armenia,import,Natural Gas,BCF,"89,85 ","95,97 ","101,04 "
        Armenia,Export,Electricity,Billion KWh,"1,33 ","1,00 ","1,12 "
Australia,Import,Natural Gas,BCF,"236,89 ","214,22 ","103,31 "
        Australia,Export,Natural Gas,BCF,"3592,40 ","3739,07 ","3745,89 "
        Austria,Import,Natural Gas,BCF,"227,13 ","167,11 ","428,44 "
        Austria,Import,Electricity,Billion KWh,"2,20 ","7,54 ","8,71 "
        Austria,Export,Electricity,Billion KWh,"22,33 ","18,89 ","19,88 "
        Azerbaijan,Import,Natural Gas,BCF,"4,84 ","18,37 ","2,39 "
        Azerbaijan,Import,Electricity,Billion KWh,"(1,01)","(1,52)","(2,86)"
        Azerbaijan,Export,Electricity,Billion KWh,"1,15 ","1,67 ","3,00 "
        Azerbaijan,Export,Natural Gas,BCF,"476,75 ","667,45 ","791,05 "
        Bahrain,Import,Natural Gas,BCF,"2,90 ","0,00 ","0,00 "
        Bahrain,Import,Electricity,Billion KWh,"(0,22)","0,02 ","0,04 "
        Bahrain,Export,Electricity,Billion KWh,"0,42 ","0,44 ","0,45 "
